,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount
0,U.S. Polo Assn.,Pack Of 2 Printed Trunk,Rs. 699,Rs. 629,4.5,87
1,Van Heusen Innerwear,Pack of2 Antibacterial Trunks,Rs. 588,Rs. 523,4.4,5.2k
2,U.S. Polo Assn.,Men Solid Trunks,Rs. 369,Rs. 306,4.3,8.6k
3,Jockey,Super Combed Cotton Trunk,0,0,4.5,2.8k
4,Calvin Klein,3-Pack Mid-Rise Short Trunks,0,0,4.3,265
5,Jockey,Men Cotton Trunks,0,0,4.4,4.2k
6,XYXX,Men Pack Of 2 Cotton Trunks,Rs. 638,Rs. 427,4.3,2.9k
7,DAMENSCH,Pack Of 3 Deo-Cotton Trunks,Rs. 1045,Rs. 909,4.7,184
8,Jockey,Men Pack of 2 Cotton Briefs,0,0,4.4,7.5k
9,Jockey,Super Combed Cotton Trunk,0,0,4.4,5.8k
10,DAMENSCH,Pack Of 3 Deo Cotton Trunk,Rs. 949,Rs. 892,4.6,1k
11,XYXX,Men Solid Cotton Trunk,Rs. 319,Rs. 248,4.3,5.8k
12,Jockey,Men Printed Cotton Trunk,0,0,4.5,3.5k
13,XYXX,Men Pack Of 3 Cotton Trunks,Rs. 957,Rs. 629,4.3,1.1k
14,Jockey,Cotton Basic Briefs,0,0,4.4,8.8k
15,Jockey,Printed Ultra Soft Trunk,0,0,4.5,596
16,DAMENSCH,Pack of 2 Deo Cotton Trunks,Rs. 695,Rs. 576,4.5,809
17,Jockey,Men Cotton Trunks,0,0,4.4,2k
18,Levis,Smartskin Technology Trunks,Rs. 329,Rs. 220,4.2,3.3k
19,DAMENSCH,Pack Of 3 Deo Cotton Trunk,Rs. 1045,Rs. 909,4.5,609
20,Jockey,Men Pack of 2 Cotton Briefs,0,0,4.5,1.4k
21,Jockey,Men Super Combed Cotton Trunk,0,0,4.6,393
22,U.S. Polo Assn.,Pack Of 3 Cotton Trunks,Rs. 949,Rs. 835,4.4,231
23,U.S. Polo Assn.,Men Solid Cotton Trunks,Rs. 369,Rs. 276,4.2,1.7k
24,Jockey,Men Pack of 2 Cotton Briefs,0,0,4.4,9.2k
25,Marks & Spencer,5 Pcs Mid Rise Trunks,0,0,0,0
26,Jockey,Printed Combed Cotton Trunk,0,0,4.6,389
27,DAMENSCH,Men Solid Deo-Cotton Trunk,Rs. 349,Rs. 310,4.5,3.4k
28,Calvin Klein Underwear,3Pc Low Rise Short Trunks,Rs. 2699,Rs. 1889,0,0
29,Levis,Pack Of 2 Cotton Trunk,Rs. 699,Rs. 426,4.3,2k
30,Jockey,Super Combed Cotton Trunk,0,0,4.5,1.5k
31,U.S. Polo Assn.,Pack Of 3 Printed Trunks,Rs. 1149,Rs. 1034,4.1,254
32,XYXX,Men Pack of 2 Solid Trunks,Rs. 538,Rs. 499,4.3,1.1k
33,Jockey,Super Combed Cotton Trunk,0,0,4.5,1.5k
34,Jack & Jones,Pack Of 2 Outer Elastic Trunks,Rs. 899,Rs. 809,4,47
35,XYXX,Pack of 2 Solid Cotton Trunks,Rs. 638,Rs. 427,4.3,2.6k
36,Jockey,Printed Ultrasoft Trunk,0,0,4.6,251
37,U.S. Polo Assn.,2-Pc Breathability Trunks,Rs. 699,Rs. 629,4.5,229
38,U.S. Polo Assn.,Men Solid Cotton Trunk,Rs. 369,Rs. 295,4.3,2k
39,Jockey,Super Combed Cotton Trunk,0,0,4.5,1.4k
40,Jack & Jones,Men Pack Of 2 Printed Trunk,Rs. 1499,Rs. 1349,4.6,8
41,Jockey,Combed Cotton Basic Briefs,0,0,4.4,6.1k
42,XYXX,Men Solid Cotton Trunks,Rs. 319,Rs. 248,4.3,2.3k
43,U.S. Polo Assn.,Pack Of 3 Printed Trunks,Rs. 1149,Rs. 976,4.4,336
44,HRX by Hrithik Roshan,Pack Of 2 Trunks,0,0,0,0
45,Jockey,Men Solid Trunks,0,0,4.5,1.3k
46,DAMENSCH,Lightweight Unreal Trunks,Rs. 699,Rs. 580,4.6,527
47,Levis,Pack of 2 Cotton Briefs,Rs. 479,Rs. 296,4.2,2.4k
48,Levis,Pack of 2 Assorted Trunks,Rs. 778,Rs. 466,3.7,494
49,DAMENSCH,Pack Of 2 Deo-Soft Trunks,Rs. 1179,Rs. 1143,4.5,853
