,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount
0,Converse,Unisex Chuck Taylor All Star,0,0,4.6,769
1,Converse,Unisex Chuck 70 Sneakers,0,0,4.7,299
2,HRX by Hrithik Roshan,Unisex Back To School Shoes,Rs. 3699,Rs. 999,4.3,1.4k
3,Red Tape,Men Textured Sneakers,Rs. 6999,Rs. 1399,4.2,106
4,GULLY LABS,Men Sneakers,0,0,0,0
5,Red Tape,Men Round Toe Sneakers,Rs. 7199,Rs. 1295,4.4,1.6k
6,HRX by Hrithik Roshan,Men Lace-Up Sneakers,Rs. 3699,Rs. 1117,3.9,109
7,ADIDAS Originals,Men Campus 00S Sneakers,Rs. 10999,Rs. 6599,4.3,108
8,Red Tape,Men PU Sneakers,Rs. 6299,Rs. 1133,4.5,504
9,ASIAN,Men Colourblocked Sneakers,Rs. 1499,Rs. 869,3.8,2.5k
10,Tommy Hilfiger,Men Leather Loafers,Rs. 9599,Rs. 7679,4.6,9
11,Red Tape,Men Colourblocked PU Sneakers,Rs. 6299,Rs. 1133,4.5,321
12,Red Tape,Men Round Toe Sneakers,Rs. 7199,Rs. 1295,4.4,1k
13,Converse,Unisex Chuck Taylor All Star,0,0,4.7,1.4k
14,Killer,Men Sneakers With Thick Sole,Rs. 2999,Rs. 699,3.8,8
15,Red Tape,Men PU Lace-Ups Sneakers,Rs. 6599,Rs. 1187,4.4,520
16,Tommy Hilfiger,Men Leather SlipOn Espadrilles,Rs. 9599,Rs. 7679,3.8,6
17,Mast & Harbour,Men Round Toe Suede Loafers,Rs. 2499,Rs. 974,4.2,2.9k
18,Red Tape,Men Lace Up High Top Sneakers,Rs. 6699,Rs. 1339,4.4,4.3k
19,Lacoste,Lace Ups Round Toe Sneakers,Rs. 11700,Rs. 7020,4.7,9
20,Red Tape,Men Colourblocked Sneakers,Rs. 7699,Rs. 1385,4.5,57
21,Red Tape,Men Colourblocked Sneakers,Rs. 7699,Rs. 1385,4.1,10
22,Tommy Hilfiger,Square Toe Leather Loafers,Rs. 9599,Rs. 7679,4.3,6
23,Red Tape,Men PU Sneakers,Rs. 7099,Rs. 1277,4.3,551
24,Red Tape,Men Colourblocked Sneakers,Rs. 7699,Rs. 1385,4.6,178
25,U.S. Polo Assn.,Men Classic Sneakers,Rs. 3199,Rs. 1631,4.3,2.2k
26,Red Tape,Men Round Toe Sneakers,Rs. 7299,Rs. 1313,4.5,1.6k
27,Campus,Men PU Sneakers,Rs. 3299,Rs. 1599,4.4,260
28,ADIDAS Originals,Men Samba OG Casual Shoes,0,0,4.4,732
29,Red Tape,Men Round Toe Sneakers,Rs. 7299,Rs. 1313,4.5,451
30,Red Tape,Men Perforations Sneakers,Rs. 6699,Rs. 1339,4.4,4.8k
31,Egoss,Men Leather Loafers,Rs. 7999,Rs. 3999,3.1,14
32,Red Tape,Men Perforations PU Sneakers,Rs. 6699,Rs. 1339,4.3,4.4k
33,Red Tape,Men Round Toe Sneakers,Rs. 7099,Rs. 1277,4.4,2.4k
34,Converse,Unisex Chuck Taylor All Star,0,0,4.6,327
35,Red Tape,Men Colourblocked Sneakers,Rs. 6999,Rs. 1259,4.3,481
36,Red Tape,Men Textured Sneakers,Rs. 6699,Rs. 1205,4.4,392
37,Kenneth Cole,Premium Comfort Leather Shoes,Rs. 6299,Rs. 3149,4,21
38,Red Tape,Men Round Toe Sneakers,Rs. 6399,Rs. 1151,4.4,1k
39,Red Tape,Men Colourblocked PU Sneakers,Rs. 6599,Rs. 1187,4.6,39
40,Lacoste,Round Toe Lace Ups Sneakers,Rs. 11700,Rs. 5850,4.4,18
41,Roadster,Men Lightweight Sneakers,Rs. 3299,Rs. 699,3.8,197
42,Red Tape,Men Sneakers,Rs. 6599,Rs. 1187,4.4,3.2k
43,Converse,Unisex Run Star Hike Sneakers,Rs. 6999,Rs. 6299,4.5,113
44,Red Tape,Men Colourblocked Sneakers,Rs. 6699,Rs. 1205,4.4,5k
45,Flying Machine,Men Joell Sneakers,Rs. 3199,Rs. 1279,4.5,48
46,ADIDAS Originals,Men Leather Campus 00S Sneaker,Rs. 10999,Rs. 6049,4.1,50
47,Bata,Men Mario Horsebit Loafers,Rs. 999,Rs. 689,4.4,61
48,Campus,Men Perforations Sneakers,Rs. 1799,Rs. 999,4.2,1.4k
49,Converse,Unisex Sport Casual,0,0,4.3,9
