,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount
0,Titan,Elixir 1.19 AMOLED Smartwatch,0,0,4.9,7
1,Titan,,Rs. 12995,Rs. 12495,0,0
2,CMF by Nothing,"Watch pro 2 with 1.32"" AMOLED",Rs. 5999,Rs. 4999,4.5,1.1k
3,Boult,Thrux HD Smartwatch,Rs. 7999,Rs. 2199,4,206
4,Titan,Celestor AMOLED Smartwatch,Rs. 9995,Rs. 8199,5,5
5,Boult,Thrux HD Smartwatch,Rs. 7999,Rs. 2199,3.9,141
6,Boult,"Rover Pro 1.43"" Smart Watch",Rs. 10999,Rs. 1999,4,235
7,Titan,Elixir 1.19 AMOLED Smartwatch,Rs. 13995,Rs. 12499,0,0
8,CMF by Nothing,"Watch pro 2 with 1.32"" AMOLED",Rs. 5999,Rs. 4999,4.5,445
9,Fastrack,FS1 Pro With BT Calling Watch,Rs. 7995,Rs. 2995,4.3,76
10,Titan,Valerie 1.19 AMOLED Smartwatch,Rs. 11495,Rs. 8999,4.6,8
11,CMF by Nothing,Watch Pro with 1.96 AMOLED,Rs. 5999,Rs. 4499,4.3,2.1k
12,Boult,Crown R Pro Health Tracker,Rs. 6999,Rs. 2399,4.2,149
13,Titan,Valerie 1.19 AMOLED Smartwatch,0,0,0,0
14,Boult,Rover Pro 1.43 SmartWatch,Rs. 9999,Rs. 1999,3.9,103
15,NOISE,Pulse 4 Max Smartwatch,Rs. 6999,Rs. 1899,3,12
16,Titan,Celestor AMOLED Smartwatch,0,0,0,0
17,Boult,Mirage Smart Watch,Rs. 4999,Rs. 1799,3.6,29
18,NOISE,Evolve 3 Smartwatch,Rs. 6999,Rs. 2199,4.2,535
19,Titan,Smart 3 BT Calling SmartWatch,Rs. 11995,Rs. 4999,4.2,26
20,NOISE,Evolve 3 Smartwatch,Rs. 6999,Rs. 2199,4.1,379
21,NOISE,Pulse 4 Max Smartwatch,Rs. 6999,Rs. 1899,4.4,16
22,Titan,"Evolution 1.85"" Smartwatch",0,0,0,0
23,Boult,Pyro Smartwatch,Rs. 7999,Rs. 2499,3.8,32
24,Boult,"Trail Pro 2.01"" 3D Smart Watch",Rs. 6999,Rs. 1799,4.1,65
25,Titan,Maestro 1.43 AMOLED Smartwatch,0,0,0,0
26,NOISE,ColorFit Ultra 3 Smartwatch,Rs. 8999,Rs. 2999,4.5,60
27,Boult,"Trail Pro 2.01"" 3D Smart Watch",Rs. 6999,Rs. 1799,4.3,59
28,Fastrack,Marvellous FX2 Smartwatch,Rs. 9995,Rs. 6499,0,0
29,NOISE,ColorFit Pro 4 Smart Watch,Rs. 7999,Rs. 1799,4.6,11
30,NOISE,Pulse 4 Max Smartwatch,Rs. 6999,Rs. 1899,4.5,6
31,Titan,Heritage AMOLED Smartwatch,0,0,0,0
32,NOISE,ColorFit Icon 4 Smartwatch,Rs. 6999,Rs. 2199,4.1,224
33,Timex,Unisex Smartwatch,Rs. 7495,Rs. 3747,3.5,15
34,Titan,Smart 3 AMOLED Smartwatch,Rs. 11995,Rs. 4999,0,0
35,Timex,Iconnect EVO+ Smartwatch,Rs. 5495,Rs. 2747,4.3,58
36,NOISE,1.1AMOLED Display Smart Watch,Rs. 5999,Rs. 2299,3,13
37,Titan,"Evolution 1.85"" Smartwatch",0,0,0,0
38,NOISE,ColorFit Pro 5 Max Smartwatch,Rs. 9999,Rs. 3999,4.3,80
39,CMF by Nothing,Watch Pro with 1.96 AMOLED,Rs. 5999,Rs. 4499,4.4,676
40,Titan,Maestro 1.43 AMOLED Smartwatch,Rs. 14495,Rs. 12495,0,0
41,Boult,Crown R Pro Health Tracker,Rs. 6999,Rs. 2399,4.2,92
42,Fastrack,FS1 Pro With BT Calling Watch,Rs. 7995,Rs. 2995,4.4,123
43,Boult,Dire Smart Watch,Rs. 4999,Rs. 1499,4.3,67
44,Boult,"Trail Pro 2.01"" 3D Smart Watch",Rs. 6999,Rs. 1599,4.3,32
45,NOISE,Unisex Halo 2 Smartwatch,Rs. 6999,Rs. 4899,4.5,13
46,Fastrack,Styler FS1 Pro Smartwatch,Rs. 4999,Rs. 2499,4.4,17
47,Fire-Boltt,Crusader Amoled 1.43BT Calling,Rs. 18999,Rs. 2799,4.4,514
48,CMF by Nothing,Watch Pro with 1.96 AMOLED,Rs. 5999,Rs. 4499,4.3,271
49,Titan,"Evolution 1.85"" Smartwatch",0,0,0,0
