,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount
0,UNDER ARMOUR,Phantom 4 Men Sports Shoes,0,0,4.4,9
1,Skechers,Men Go Run Consistent Shoes,Rs. 5499,Rs. 3299,4.4,3k
2,HRX by Hrithik Roshan,Unisex Running Shoes,Rs. 2999,Rs. 999,4.3,288
3,WROGN,Men Walking Shoes,Rs. 2499,Rs. 1499,0,0
4,ADIDAS,Men Breaknet 2.0IKD Basketball,Rs. 5999,Rs. 2999,4.3,175
5,WROGN,Men Running Shoes,Rs. 3299,Rs. 1517,4.3,18
6,ASICS,Men Gel-Contend B+ Running,Rs. 4299,Rs. 2149,4.2,567
7,ASICS,Men GT-1000 12 Running Shoes,Rs. 8999,Rs. 4949,4.2,25
8,ADIDAS,Men Adivat Running Shoes,Rs. 3299,Rs. 1649,4.3,2.7k
9,WROGN,Men Running Shoes,Rs. 3299,Rs. 1517,3.7,19
10,ASICS,Men GEL-PULSE 15 Running Shoes,Rs. 8999,Rs. 5399,4.4,72
11,HRX by Hrithik Roshan,Men Memory Foam Running Shoes,Rs. 2999,Rs. 999,4.1,10.1k
12,Puma,FlexJet Lite Men Running Shoes,Rs. 3999,Rs. 2199,3.8,112
13,ADIDAS,Men Ultraboost 1.0 Running,Rs. 17999,Rs. 9899,3.5,32
14,HRX by Hrithik Roshan,Unisex Running Shoes,Rs. 2999,Rs. 999,4.1,181
15,Puma,Men Cricket Shoes,Rs. 4999,Rs. 1999,4.2,940
16,UNDER ARMOUR,Phantom 4 Men Sports Shoes,0,0,0,0
17,Campus,Men Running Shoes,Rs. 1999,Rs. 1249,4.3,7.5k
18,WROGN,Men Walking Shoes,Rs. 2499,Rs. 1499,0,0
19,UNDER ARMOUR,UA Fat Tire Venture Men Shoes,0,0,4.4,5
20,Puma,Indoor Sports Shoes,Rs. 4999,Rs. 2249,4.2,5k
21,Kalenji By Decathlon,Men JOGFLOW 100.1 Run Shoes,Rs. 2999,Rs. 2599,4.3,513
22,ASICS,Men Gel-Sonoma 8 Running Shoes,Rs. 7999,Rs. 4799,4.4,28
23,ASICS,Men Gel Zaraca 5 B Run Shoes,Rs. 4999,Rs. 2499,4.1,497
24,ADIDAS,Men Vl Court 3.0 Training Shoe,Rs. 6999,Rs. 3499,4.5,192
25,ADIDAS,Men Ultraboost 1.0 Run Shoes,Rs. 17999,Rs. 8819,3.8,156
26,Nike,Downshifter 12 Men's Shoes,0,0,4.4,66
27,WROGN,Men Striped Running Shoes,Rs. 3299,Rs. 1517,2.9,8
28,Skechers,GO WALK Massage Fit Men Shoes,0,0,4.1,18
29,Campus,Men Running Shoes,Rs. 1899,Rs. 1249,4.3,6.9k
30,ADIDAS,MOULD 3 LOUNGER Men Shoes,Rs. 6999,Rs. 3149,4.4,112
31,Campus,Lace-Ups Running Shoes,Rs. 3499,Rs. 1599,4.2,36
32,HRX by Hrithik Roshan,HRX-235 02 Running Shoes,Rs. 3999,Rs. 1117,3.9,108
33,Nike,Run Defy Running Shoes,Rs. 3995,Rs. 3595,4.3,75
34,ASICS,Men Court Reflex Tennis Shoes,Rs. 5999,Rs. 2999,4.4,64
35,Red Tape,Men Walking Shoes,Rs. 7299,Rs. 1459,4.3,372
36,Nike,Run Defy Men's Running Shoes,Rs. 3995,Rs. 3595,4.5,58
37,ADIDAS,Men Terrex Trekking Shoes,Rs. 8599,Rs. 4729,4.7,29
38,NIVIA,Men SAFARI Football Shoes,Rs. 1499,Rs. 974,4,31
39,ADIDAS,Men Breaknet 2.0IKD Basketball,Rs. 6599,Rs. 3299,4.1,105
40,ASICS,Men Running Shoes,Rs. 5999,Rs. 2999,4.1,59
41,Puma,Indoor Sports Shoes,Rs. 4999,Rs. 2249,4.3,1.9k
42,HRX by Hrithik Roshan,Men Active Running Shoes,Rs. 6999,Rs. 1599,0,0
43,Skechers,GO RUN CONSISTENT 2.0 Shoes,0,0,4.3,11
44,Reebok,Unisex Billington Run Shoes,Rs. 4999,Rs. 2749,0,0
45,Puma,Unisex Lace-Ups Shoes,Rs. 4999,Rs. 2749,0,0
46,Skechers,Men GO RUN PULSE 2 Running,Rs. 6999,Rs. 4199,3.7,34
47,HRX by Hrithik Roshan,Men Running Shoes,Rs. 4999,Rs. 1249,4.5,27
48,Puma,ProFoam Fuego Res Men Shoes,Rs. 6999,Rs. 2799,3.4,65
49,Skechers,Men Slip-Ins Go Walk Walking,Rs. 8999,Rs. 8549,4.4,19
